client_id,status,churned,segment,client_livedate,client_offdate,sem_livedate,sem_offdate,sem_status,sem_days_live,last_login,days_since_last_login,leads_30days,spend_30days
43887,OFF,1,Solar Contractors,3/29/2016,7/1/2016,3/30/2016,7/1/2016,Off,93,6/28/2016,3,6,399.29
54410,OFF,1,Lawyer,1/19/2016,3/23/2016,1/20/2016,3/23/2016,Off,63,2/9/2016,43,20,819.04
64536,OFF,1,Carpet Cleaning,1/13/2016,3/10/2016,1/13/2016,3/10/2016,Off,57,2/14/2016,25,3,78.02
88710,LIVE,0,Appliance Repair,2/15/2016,,4/21/2016,,Live,128,,,84,295.96
98443,LIVE,0,Mover,7/5/2016,7/5/2016,5/17/2016,7/5/2016,Off,49,,,53,0
113047,OFF,1,Roofer,5/3/2016,6/25/2016,5/4/2016,6/25/2016,Off,52,6/13/2016,12,16,132.97
115814,OFF,1,Lawyer,2/17/2016,7/1/2016,2/18/2016,7/1/2016,Off,134,3/9/2016,114,12,642.27
128139,LIVE,0,Mover,7/28/2016,7/28/2016,6/6/2016,7/28/2016,Live,82,7/27/2016,31,56,618.12
134763,OFF,1,HVAC Contractor,6/1/2016,8/10/2016,6/2/2016,8/10/2016,Off,69,7/27/2016,14,4,0
139908,LIVE,0,Lawyer,6/16/2016,,6/17/2016,,Live,71,,,20,"1,018.40"
140822,LIVE,0,Home Remodeling,5/3/2016,,5/4/2016,,Live,115,,,25,"1,029.99"
148905,LIVE,0,Lawyer,6/3/2016,,6/6/2016,,Live,82,,,149,"1,577.69"
152895,LIVE,0,Janitorial Service,4/28/2016,4/28/2016,4/28/2016,8/27/2016,Off,121,,,23,200.08
155273,OFF,1,Lawyer,4/5/2016,7/14/2016,4/6/2016,7/14/2016,Off,99,5/2/2016,73,49,854.29
155397,OFF,1,Lawyer,4/26/2016,8/19/2016,4/27/2016,8/19/2016,Off,114,8/13/2016,6,29,76.3
156572,LIVE,0,Appliance Repair,6/15/2016,6/14/2016,6/24/2016,8/18/2016,Off,55,,,53,0
157139,OFF,1,Naturopath,3/22/2016,7/23/2016,3/23/2016,7/23/2016,Off,122,7/6/2016,17,6,0
157779,OFF,1,Accountant,5/6/2016,7/15/2016,5/9/2016,7/15/2016,Off,67,6/10/2016,35,17,415.75
161048,OFF,1,HVAC Contractor,6/2/2016,7/2/2016,2/2/2016,5/21/2016,Off,109,3/28/2016,96,6,145.33
169683,OFF,1,Lawyer,1/15/2016,4/16/2016,1/19/2016,4/11/2016,Off,83,4/11/2016,5,14,359.14
171639,LIVE,0,Pest Exterminator,5/12/2016,3/10/2016,1/8/2016,3/10/2016,Off,62,,,39,0
172238,LIVE,0,Lawyer,5/25/2016,,5/26/2016,,Live,93,,,48,265.97
176858,OFF,1,Lawyer,4/29/2016,8/1/2016,5/2/2016,8/1/2016,Off,91,6/20/2016,42,5,0
180877,LIVE,0,Arborist,3/15/2016,3/15/2016,3/15/2016,,Live,165,3/14/2016,166,15,313.66
181016,OFF,1,HVAC Contractor,2/9/2016,4/22/2016,2/10/2016,4/22/2016,Off,72,2/12/2016,70,11,0
183203,LIVE,0,General Contractor,3/8/2016,3/5/2016,2/29/2016,3/5/2016,Live,180,,,42,422.64
186776,LIVE,0,Plumber,3/9/2016,,4/12/2016,5/29/2016,Off,47,,,116,0
191365,OFF,1,Plastic Surgeon,1/15/2016,5/14/2016,1/19/2016,5/14/2016,Off,116,4/28/2016,16,15,31.4
192041,OFF,1,Lawyer,6/10/2016,8/4/2016,6/10/2016,8/4/2016,Off,55,5/11/2016,85,6,56.51
192154,OFF,1,Lawyer,1/21/2016,4/3/2016,1/22/2016,4/3/2016,Off,72,4/1/2016,2,7,9.25
192329,LIVE,0,Lawyer,7/12/2016,,7/13/2016,,Live,45,,,29,315.3
195200,OFF,1,Lawyer,1/12/2016,4/15/2016,1/13/2016,4/15/2016,Off,93,3/22/2016,24,26,238.25
195625,OFF,1,Home Remodeling,3/18/2016,8/14/2016,3/21/2016,8/14/2016,Off,146,7/18/2016,27,3,59.56
199368,OFF,1,Real Estate Agent,2/22/2016,7/23/2016,2/23/2016,4/26/2016,Off,63,4/25/2016,89,13,860.41
202754,LIVE,0,Lawyer,1/29/2016,,2/1/2016,,Live,208,,,31,752.74
204623,LIVE,0,Electrician,4/15/2016,4/15/2016,4/18/2016,6/8/2016,Live,131,3/21/2016,159,214,"1,114.62"
216859,LIVE,0,Auto Glass Repair Shop,8/3/2016,7/24/2016,1/20/2016,3/25/2016,Off,65,5/11/2016,108,98,0
217407,OFF,1,Insurance,2/18/2016,6/11/2016,2/19/2016,6/11/2016,Off,113,5/12/2016,30,29,234.58
220040,LIVE,0,Locksmith,5/25/2016,5/22/2016,5/6/2016,5/22/2016,Live,113,5/5/2016,114,113,704.39
222387,LIVE,0,Lawyer,6/16/2016,,6/17/2016,,Live,71,,,13,682.46
228606,LIVE,0,Property Manager,7/20/2016,,7/21/2016,,Live,37,,,39,960.69
228975,OFF,1,Insurance,1/6/2016,7/6/2016,1/7/2016,4/21/2016,Off,105,1/20/2016,168,5,104.06
230981,LIVE,0,Lawyer,2/29/2016,,3/3/2016,,Live,177,,,24,173.7
236546,OFF,1,Roofer,2/12/2016,7/13/2016,2/12/2016,7/13/2016,Off,152,6/8/2016,35,12,244.72
238401,LIVE,0,Dentist,8/24/2016,8/24/2016,6/20/2016,8/24/2016,Off,65,8/11/2016,16,8,188.16
239737,LIVE,0,Lawyer,1/5/2016,10/17/2015,1/5/2016,,Live,235,,,23,170.97
242622,LIVE,0,Lawyer,6/30/2016,,7/1/2016,,Live,57,,,30,201.97
248696,LIVE,0,Dentist,7/20/2016,7/20/2016,6/15/2016,7/20/2016,Off,35,6/20/2016,68,0,0
254529,LIVE,0,Concrete Contractor,5/6/2016,2/1/2016,6/1/2016,,Live,87,,,59,287.53
258254,LIVE,0,General Contractor,3/31/2016,3/23/2016,3/31/2016,,Live,149,,,22,155.83
258592,OFF,1,Landscaper,3/7/2016,5/21/2016,3/7/2016,5/21/2016,Off,75,,,11,119.9
263728,OFF,1,Plumber,5/9/2016,6/30/2016,5/9/2016,6/30/2016,Off,52,5/27/2016,34,20,156.37
263733,LIVE,0,Plumber,5/9/2016,4/28/2016,5/9/2016,,Live,110,3/8/2016,172,65,"1,088.59"
263889,LIVE,0,Lawyer,3/12/2016,,3/14/2016,,Live,166,,,53,779.19
264399,LIVE,0,Property Manager,5/2/2016,,5/3/2016,,Live,116,,,20,126.54
264432,LIVE,0,Lawyer,2/23/2016,,2/23/2016,,Live,186,,,25,610.26
264449,LIVE,0,Blinds Retail and Installation Service,8/10/2016,8/3/2016,2/15/2016,6/15/2016,Off,121,7/25/2016,33,9,0
264842,OFF,1,Asphalt and Pavement Contractor,2/25/2016,7/8/2016,2/25/2016,7/8/2016,Off,134,6/21/2016,17,9,0
265551,LIVE,0,Junk Removal Service,2/25/2016,1/21/2016,6/14/2016,8/21/2016,Off,68,,,8,0
268952,OFF,1,Accountant,2/9/2016,5/4/2016,2/9/2016,5/4/2016,Off,85,,,17,18.5
269316,OFF,1,Lawyer,2/17/2016,5/9/2016,2/18/2016,5/9/2016,Off,81,5/6/2016,3,30,649.52
269757,LIVE,0,Accountant,2/15/2016,2/14/2016,2/10/2016,5/12/2016,Off,92,2/12/2016,197,0,0
270512,LIVE,0,Lawyer,3/30/2016,2/1/2016,3/30/2016,,Live,150,,,18,168.33
271449,OFF,1,Lawyer,1/8/2016,8/10/2016,1/11/2016,8/10/2016,Off,212,7/8/2016,33,21,0
272810,LIVE,0,Printing Shop,5/6/2016,5/5/2016,5/18/2016,,Live,101,5/4/2016,115,28,276.83
273585,LIVE,0,DJ Services,5/18/2016,5/10/2016,5/18/2016,,Live,101,4/14/2016,135,5,226.53
273788,OFF,1,Lawyer,2/25/2016,6/22/2016,2/26/2016,6/22/2016,Off,117,4/26/2016,57,1,0
274602,LIVE,0,Taxi Cab Service,2/25/2016,2/17/2016,7/11/2016,,Live,47,,,411,584.6
275146,LIVE,0,Taxi Cab Service,7/15/2016,7/9/2016,2/15/2016,7/9/2016,Live,194,7/6/2016,52,121,594.17
276018,LIVE,0,Landscaper,3/2/2016,2/26/2016,4/25/2016,6/25/2016,Live,124,2/20/2016,189,100,976.49
277171,OFF,1,Lawyer,1/15/2016,5/15/2016,1/19/2016,5/15/2016,Off,117,1/19/2016,117,50,"1,952.35"
277217,OFF,1,Home Remodeling,1/5/2016,6/8/2016,4/22/2016,6/8/2016,Off,47,5/20/2016,19,7,60.13
277393,LIVE,0,Lawyer,1/5/2016,1/4/2016,1/5/2016,,Live,235,,,8,121.18
277466,OFF,1,Home Remodeling,2/2/2016,6/5/2016,2/8/2016,6/5/2016,Off,118,2/10/2016,116,5,0
277750,LIVE,0,Lawyer,3/8/2016,,3/9/2016,7/3/2016,Off,116,,,3,0
277930,OFF,1,Lawyer,3/3/2016,8/3/2016,3/4/2016,8/3/2016,Off,152,7/6/2016,28,12,532.53
278447,OFF,1,Landscaper,4/15/2016,7/6/2016,4/15/2016,7/6/2016,Off,82,6/6/2016,30,1,2.13
278808,OFF,1,Lawyer,1/5/2016,5/1/2016,1/6/2016,5/1/2016,Off,116,3/30/2016,32,16,81.85
279052,LIVE,0,Locksmith,6/13/2016,4/20/2016,3/9/2016,4/20/2016,Off,42,3/21/2016,159,27,0
280500,OFF,1,HVAC Contractor,1/27/2016,3/22/2016,1/27/2016,3/22/2016,Off,55,2/25/2016,26,11,0
281067,LIVE,0,Garage Door Contractor,4/6/2016,4/2/2016,4/6/2016,4/6/2016,Live,143,3/22/2016,158,10,41.8
281628,LIVE,0,Auto Detailing Service,5/11/2016,3/7/2016,5/11/2016,7/13/2016,Off,63,1/9/2016,231,33,0
282203,OFF,1,Insurance,1/4/2016,6/5/2016,1/5/2016,4/11/2016,Off,97,4/11/2016,55,36,317.94
282457,LIVE,0,Plumber,6/22/2016,5/1/2016,1/5/2016,5/1/2016,Live,235,4/9/2016,140,13,338.8
282580,LIVE,0,Carpet Cleaning,4/29/2016,4/29/2016,2/25/2016,4/22/2016,Live,184,4/27/2016,122,49,157.47
283452,LIVE,0,Cleaning Service,3/8/2016,2/21/2016,4/7/2016,7/1/2016,Off,85,2/1/2016,208,0,0
283508,OFF,1,Real Estate Agent,1/25/2016,5/18/2016,3/4/2016,5/18/2016,Off,75,5/2/2016,16,2,24.37
283908,OFF,1,Roofer,6/13/2016,8/19/2016,6/13/2016,8/19/2016,Off,67,7/19/2016,31,16,106.52
285039,LIVE,0,Lawyer,5/25/2016,,5/27/2016,,Live,92,,,20,192.73
285228,LIVE,0,Merchant Services,8/4/2016,8/3/2016,1/27/2016,4/6/2016,Off,70,6/29/2016,59,0,0
285298,LIVE,0,Lawyer,3/24/2016,,3/25/2016,,Live,155,,,24,159.41
285529,OFF,1,Lawyer,5/24/2016,6/24/2016,1/8/2016,5/18/2016,Off,131,6/16/2016,8,64,563.66
285634,OFF,1,Mover,4/14/2016,7/28/2016,4/14/2016,7/28/2016,Off,105,5/9/2016,80,14,0
286136,OFF,1,Garage Door Contractor,1/13/2016,8/24/2016,1/19/2016,6/13/2016,Off,146,6/8/2016,77,21,211.74
287162,LIVE,0,Locksmith,4/4/2016,3/25/2016,5/17/2016,,Live,102,3/24/2016,156,123,294.17
287680,LIVE,0,Pest Exterminator,2/29/2016,2/29/2016,3/1/2016,2/29/2016,Live,179,,,9,247.34
288439,LIVE,0,Lawyer,2/23/2016,2/23/2016,2/23/2016,2/23/2016,Live,186,1/21/2016,219,39,295.29
288472,LIVE,0,Lawyer,8/19/2016,6/12/2016,2/18/2016,6/12/2016,Off,115,6/9/2016,79,6,0
288957,LIVE,0,Lawyer,3/3/2016,3/1/2016,3/3/2016,4/12/2016,Off,40,,,1,0
289032,LIVE,0,Plumber,6/23/2016,6/1/2016,6/23/2016,,Live,65,3/6/2016,174,28,210.57
289210,LIVE,0,Locksmith,4/20/2016,4/2/2016,5/20/2016,,Live,99,,,1,22.69
289365,OFF,1,Lawyer,3/11/2016,8/17/2016,3/11/2016,8/17/2016,Off,159,,,25,166.43
