client_id,churned,days_live,logins_30days,leads_30days,spend_30days,invoices_30days
980,1,7,0,9,0,0
3471,1,153,0,1,0,0
4864,1,61,0,8,0,49
5938,1,0,0,5,0,0
10403,1,31,0,0,0,0
11761,1,60,1,2,0,98
13354,1,212,0,4,0,0
15819,1,0,0,15,0,0
19672,1,590,0,20,0,0
20334,1,244,4,1,0,57
24673,1,334,0,55,0,99
24687,0,782,1,83,2745.57,3000
27061,1,122,3,1,0,0
30537,1,794,0,5,0,0
31590,1,92,0,0,0,0
32557,1,406,0,29,337.01,0
32689,1,122,0,9,49.13,569
36006,1,122,0,5,0,0
37635,1,120,0,3,0,49
39046,1,194,0,3,0,0
44651,1,29,0,5,0,148
44802,0,791,0,2,0,19
45901,1,638,0,2,0,0
49436,1,488,0,7,0,50
49930,1,211,1,14,152.7,0
50759,1,488,1,1,0,0
51740,1,92,1,33,716.15,0
53742,1,245,0,8,0,0
55666,0,542,0,13,174.67,199
55857,0,3,0,1,17.89,2596
56383,1,85,3,31,442.82,0
57015,1,88,0,16,292.8,0
58288,1,87,0,9,489.34,0
59520,1,148,4,9,146.96,0
59653,1,4,0,1,0,129
61054,1,499,0,16,0,0
62622,0,875,0,4,0,49
63681,1,158,2,19,414.4,0
72507,1,62,0,11,0,0
76012,1,212,0,12,643.52,0
78117,1,74,1,0,0,0
84709,1,877,0,14,94.25,0
86538,1,115,2,31,5002.29,0
86604,1,610,0,18,3882.71,10
86879,1,352,0,3,353.2,0
88710,0,213,0,49,0,0
89549,1,508,0,11,0,19
92180,1,177,0,21,109.85,0
92748,1,111,0,1031,465.94,0
94458,1,942,0,23,0,0
95932,1,74,1,47,0,0
96300,1,153,0,21,0,0
98279,1,81,0,26,687.14,0
100013,0,490,0,11,0,19
100156,1,153,0,22,0,149
100535,1,396,0,102,0,0
101381,1,59,0,2,0,0
102673,1,91,0,1,0,0
104828,1,31,1,52,0,0
106170,1,55,0,35,390.02,0
107488,0,308,1,46,269.39,599
107584,0,860,0,152,1697.08,2150
107941,1,119,0,12,160.98,200
109419,1,395,0,13,0,149
109574,1,123,0,1,0,0
109998,1,58,0,8,75.6,0
110000,1,59,1,7,0,0
110322,1,181,0,4,0,19
110893,0,601,0,27,1049.14,1449
112007,1,243,0,1,0,0
112088,1,761,0,7,0,0
112190,0,534,0,1,0,49
112230,1,243,2,179,0,0
112234,1,669,0,5,0,0
112334,1,396,0,3,0,0
112374,1,61,0,40,0,49
112446,1,181,1,4,0,0
112714,1,243,0,2,0,0
113109,1,145,0,50,245.15,0
113256,1,373,0,53,290.68,0
113537,1,92,0,32,0,0
114101,1,365,0,6,0,19
114619,1,92,0,9,0,0
114700,1,365,0,7,0,19
